Skip to main content

 

ConnectWise University
Welcome back Kyle
 ConnectWise RMM   Patching   Third-Party Patching   Supported Third-Party Applications
Supported Third-Party Applications
Last updated
Nov 20, 2025
Table of contents
No headers

The following are the Third-Party applications that are supported by our Patching.

Note: The following list relates to the legacy third-party patching. For improved Third-Party Patching, navigate to Endpoints > Patches > Approvals and click the Third-Party Patching tab.

ImageGlass	 	 	 	YES	 
Image Sort	 	 	YES	YES	 
ImHex	 	 	 	YES	 
ImPlay	 	 	 	YES	 
InSpec	 	 	 	YES	 
Interactive Data Editor	 	 	 	YES	 
IntunePrepTool	 	 	 	YES	 
Invo Connect	 	 	 	YES	 
IO Ninja	 	 	YES	YES	 
IrfanView	 	 	YES	YES	 
IronPython 3	 	 	 	YES	 
IsWiX	 	 	 	YES	 
iTunes	 	 	YES	YES	 
JabRef	 	 	 	YES	 
Janet	 	 	 	YES	 
Jira StopWatch	 	 	YES	YES	 
JPEGView	 	 	YES	YES	 
k6	 	 	YES	 	 
Keboola CLI	 	 	 	YES	 
KeePass Password Safe	 	 	YES	YES	 
KeePassXC	 	 	 	YES	 
keymapper	 	 	 	YES	 
K-Lite Codec Pack	 	 	YES	YES	 
ksnip	 	 	 	YES	 
Lapce	 	 	 	YES	 
LastPass	 	 	YES	YES	 
Lettura	 	 	 	YES	 
Liberica JDK 11	 	 	YES	YES	 
Liberica JDK 16	 	 	 	YES	 
Liberica JDK 22 Full	 	 	 	YES	 
Liberica JRE 13 Full	 	 	YES	YES	 
Liberica JRE 14 Full	 	 	YES	YES	 
Liberica JRE 15	 	 	YES	YES	 
Liberica JRE 20 Full	 	 	YES	YES	 
Liberica JRE 21 Full	 	 	YES	YES	 
Libgen Desktop	 	 	YES	YES	 
LibreOffice	YES	YES	YES	YES	 
Lightform Creator	 	 	 	YES	 
Logbert	 	 	YES	YES	 
Logisim-evolution	 	 	 	YES	 
LuaJIT	 	 	 	YES	 
ManicTime	 	 	YES	YES	 
MasterVolumeSync	 	 	 	YES	 
Mattermost	 	 	 	YES	 
Meld	 	 	 	YES	 
Mercurial	 	 	YES	YES	 
Microsoft Build of OpenJDK with Hotspot 17	 	 	 	YES	 
Microsoft Small Basic	 	 	 	YES	 
Microsoft System CLR Types for SQL Server 2019	 	 	 	YES	 
Mixxx	 	 	 	YES	 
Modern CSV	 	 	 	YES	 
Momento CLI	 	 	 	YES	 
MongoDB Tools	 	 	 	YES	 
Mozilla Firefox	 	YES	YES	YES	 
Mozilla Thunderbird	 	YES	YES	YES	 
mRemoteNG	 	 	 	YES	 
MSIX Core	 	 	YES	YES	 
MuseScore 3	 	 	YES	YES	 
MyHarmony	 	 	 	YES	 
MySQL Shell	 	 	 	YES	 
myViewBoard Display	 	 	 	YES	 
NAPS2	 	 	YES	YES	 
Neovide	 	 	 	YES	 
neovim-qt	 	 	 	YES	 
Nitropy	 	 	 	YES	 
NormCap	 	 	 	YES	 
NoteHighlight2016	 	 	YES	YES	 
Notepad++	 	 	YES	YES	 
Npackd	 	 	YES	YES	 
NVC VHDL Simulator	 	 	 	YES	 
O&O Defrag Professional	 	 	 	YES	 
Octopus Deploy Tentacle	 	 	YES	YES	 
Office 365 on Electron	 	 	 	YES	 
Office Tab Enterprise	 	 	 	YES	 
ojdkbuild OpenJDK JRE 17	 	 	 	YES	 
okapi	 	 	 	YES	 
omsi-launcher	 	 	 	YES	 
OneCommander	 	 	 	YES	 
OneWare Studio	 	 	 	YES	 
OpenOffice	 	YES	 	 	 
OpenRPA	 	 	 	YES	 
OpenSC smartcard framework	 	 	YES	YES	 
OpenVPN Connect	 	 	YES	YES	 
Opera	 	 	 	YES	 
Opera Stable	 	 	YES	YES	YES
osquery	 	 	 	YES	 
Outlook for Office365	 	 	 	YES	 
Overlayed	 	 	 	YES	 
OwlPlug	 	 	 	YES	 
Pandoc	 	 	 	YES	 
Paprika Recipe Manager 3	 	 	 	YES	 
Passcovery Suite	 	 	 	YES	 
pdfarranger	 	 	 	YES	 
PDFsam	 	 	 	YES	 
PharoLauncher	 	 	 	YES	 
pixi	 	 	 	YES	 
Proximity	 	 	 	YES	 
Pulumi	 	 	 	YES	 
Puppet Bolt	 	 	 	YES	 
Puppet Development Kit	 	 	 	YES	 
puppetry	 	 	 	YES	 
Pure Writer	 	 	 	YES	 
PuTTY	 	 	YES	YES	YES
PyAudio	 	 	 	YES	 
pyftpsync	 	 	 	YES	 
pympress	 	 	YES	YES	 
Qalculate!	 	 	YES	YES	 
Quarto	 	 	 	YES	 
QuickFixMyPic	 	 	 	YES	 
QuickLook	 	 	 	YES	 
QuickTime	 	 	YES	YES	 
QuPath	 	 	 	YES	 
RapidCRC	 	 	YES	YES	 
ReacType	 	 	 	YES	 
Reginald	 	 	 	YES	 
Remote Desktop Manager	 	 	 	YES	 
Royal Server	 	 	 	YES	 
RipShout	 	 	 	YES	 
RxView	 	 	 	YES	 
SapMachine 11 JDK	 	 	 	YES	 
SapMachine 17 JDK	 	 	 	YES	 
SapMachine 21 JDK	 	 	 	YES	 
SapMachine 22 JDK	 	 	 	YES	 
SapMachine 11 JRE	 	 	 	YES	 
SapMachine 17 JRE	 	 	 	YES	 
SapMachine 21 JRE	 	 	 	YES	 
SapMachine 22 JRE	 	 	 	YES	 
